"","player_api_id","player_name","noOfTeams","totalMatchPlayed","noOfLeagues","rating","sum_gk"
"1",505942,"Aaron Appindangoye",1,8,1,67,43
"2",155782,"Aaron Cresswell",1,75,1,74,121
"3",162549,"Aaron Doran",1,104,1,71,125
"4",30572,"Aaron Galindo",1,10,1,75,111
"5",23780,"Aaron Hughes",1,162,1,78,129
"6",27316,"Aaron Hunt",3,158,1,79,132
"7",564793,"Aaron Kuhl",1,5,1,61,64
"8",30895,"Aaron Lennon",2,181,1,84,146
"9",528212,"Aaron Lennox",1,1,1,48,237
"10",101042,"Aaron Meijers",3,167,1,69,54
"11",23889,"Aaron Mokoena",2,30,1,75,154
"12",231592,"Aaron Mooy",1,10,1,75,54
"13",163222,"Aaron Muirhead",1,21,1,63,38
"14",40719,"Aaron Niguez",2,27,2,71,129
"15",75489,"Aaron Ramsey",1,133,1,83,150
"16",597948,"Aaron Splaine",1,2,1,55,55
"17",161644,"Aaron Taylor-Sinclair",1,36,1,65,49
"18",23499,"Aaron Wilbraham",2,3,1,67,163
"19",120919,"Aatif Chahechouhe",1,1,1,77,50
"20",46447,"Abasse Ba",1,16,1,68,111
"21",167027,"Abdelaziz Barrada",2,75,2,76,47
"22",245653,"Abdelfettah Boukhriss",1,1,1,64,51
"23",128456,"Abdelhamid El Kaoutari",3,144,2,73,118
"24",42664,"Abdelkader Ghezzal",5,90,2,73,122
"25",425950,"Abdellah Zoubir",1,3,1,59,62
"26",38423,"Abdelmajid Oulmers",1,32,1,70,129
"27",3264,"Abdelmalek Cherrad",1,1,1,62,98
"28",467485,"Abdelmalek El Hasnaoui",1,5,1,63,52
"29",306735,"Abdelouahed Chakhsi",1,74,1,56,46
"30",41659,"Abderrazak Jadid",2,29,2,71,133
"31",31684,"Abdeslam Ouaddou",1,43,1,,
"32",32637,"Abdessalam Benjelloun",2,11,2,72,102
"33",563215,"Abdou Diallo",2,28,2,66,41
"34",41093,"Abdou Traore",2,59,1,71,128
"35",564712,"Abdoul Ba",1,4,1,64,60
"36",67334,"Abdoul Karim Yoda",2,54,2,72,127
"37",173955,"Abdoul Razzagui Camara",3,45,1,72,124
"38",39562,"Abdoulay Konko",3,137,2,79,138
"39",191784,"Abdoulaye Ba",4,58,2,73,65
"40",210400,"Abdoulaye Bamba",1,21,1,69,50
"41",201915,"Abdoulaye Diaby",2,37,1,73,50
"42",194479,"Abdoulaye Diallo Sadio,22",3,41,1,74,57
"43",189181,"Abdoulaye Diallo",1,9,1,69,341
"44",352887,"Abdoulaye Doucoure",2,71,2,73,68
"45",40005,"Abdoulaye Faye",2,81,1,76,152
"46",409003,"Abdoulaye Keita",1,3,1,60,54
"47",37280,"Abdoulaye Meite",2,53,2,79,135
"48",439366,"Abdoulaye Toure",1,2,1,64,48
"49",148827,"Abdoulwahid Sissoko",2,50,2,69,49
"50",173011,"Abdourahman Dampha",1,24,1,63,132
"51",419681,"Abdul Aziz Tetteh",1,19,1,67,60
"52",196947,"Abdul Majeed Waris",2,36,1,74,125
"53",89405,"Abdul Osman",1,66,1,66,131
"54",324910,"Abdul Rahman Baba",3,58,2,78,50
"55",67952,"Abdul-Yakinu Iddi",1,48,1,66,121
"56",31012,"Abdulkader Keita",1,13,1,82,86
"57",176301,"Abdulla Fatadi",1,8,1,57,60
"58",307227,"Abdullah Al Hafith",2,5,1,65,54
"59",176302,"Abdullah Omar",1,52,1,62,121
"60",525595,"Abdullahi Shehu",1,26,1,71,65
"61",24385,"Abel Aguilar",5,134,3,77,142
"62",29904,"Abel Gomez",3,40,1,,
"63",105548,"Abel Hernandez",2,57,2,78,99
"64",172875,"Abel Issa Camara",2,33,1,69,45
"65",302985,"Abel Khaled",1,3,1,61,63
"66",240556,"Abel Tamata",3,47,1,69,40
"67",40938,"Abel",1,35,1,73,143
"68",37422,"Abella Perez Damia",2,127,1,74,141
"69",114503,"Abiola Dauda",2,22,2,69,118
"70",27277,"Abou Diaby",2,67,2,79,139
"71",181344,"Aboubacar Tandia",1,4,1,62,113
"72",581141,"Aboubakar Kamara",1,3,1,61,50
"73",80592,"Aboubakar Oumarou",1,18,1,68,50
"74",165706,"Abraham Gonzalez",1,42,1,73,126
"75",210453,"Abraham Guie Gneki",2,14,2,70,44
"76",208635,"Abraham Kudemor",1,20,1,65,56
"77",213695,"Abraham Minero",2,66,1,73,51
"78",33715,"Abraham Paz Cruz",1,29,1,75,148
"79",41489,"Achille Coser",1,2,1,61,308
"80",25571,"Achille Emana",1,32,1,79,144
"81",660145,"Achille Vaarnold",1,1,1,62,47
"82",45960,"Achmed Ahahaoui",1,53,1,67,126
"83",293235,"Achraf Lazaar",1,53,1,73,53
"84",34487,"Aco Stojkov",1,23,1,60,120
"85",26331,"Adailton",1,75,1,75,118
"86",41749,"Adailton",1,37,1,73,141
"87",495841,"Adalberto Penaranda",1,21,1,72,47
"88",519835,"Adam Armstrong",1,1,1,67,55
"89",68840,"Adam Banas",2,99,1,66,45
"90",27534,"Adam Bodzek",1,29,1,72,133
"91",157303,"Adam Bogdan",2,25,1,73,364
"92",563198,"Adam Brown",1,1,1,52,57
"93",557396,"Adam Buksa",1,4,1,62,50
"94",365666,"Adam Campbell",1,7,1,62,58
"95",180197,"Adam Collin",1,3,1,66,323
"96",310346,"Adam Cummins",1,19,1,59,45
"97",68962,"Adam Danch",1,143,1,68,56
"98",429870,"Adam Deja",1,46,1,62,56
"99",23133,"Adam Drury",1,12,1,72,125
"100",420209,"Adam Drury",1,10,1,57,53
"101",308280,"Adam Duda",1,7,1,60,51
"102",361712,"Adam Dzwigala",3,29,1,60,56
"103",38617,"Adam Federici",2,27,1,73,371
"104",173993,"Adam Fraczczak",1,108,1,68,50
"105",277313,"Adam Gyurcso",1,8,1,69,46
"106",40568,"Adam Hammill",1,10,1,73,128
"107",281079,"Adam Henley",1,4,1,67,52
"108",89240,"Adam Hlousek",4,80,2,72,133
"109",24159,"Adam Johnson",3,146,1,,
"110",414208,"Adam King",1,2,1,57,55
"111",43317,"Adam Kokoszka",2,95,1,67,134
"112",37234,"Adam Lallana",2,109,1,80,131
"113",24952,"Adam Le Fondre",1,11,1,73,96
"114",209372,"Adam Maher",2,120,1,78,48
"115",69518,"Adam Marciniak",3,103,1,62,52
"116",478447,"Adam Marusic",1,49,1,69,44
"117",500502,"Adam Masina",1,30,1,73,54
"118",170593,"Adam Matthews",1,89,1,74,133
"119",185336,"Adam Matuschyk",1,31,1,72,120
"120",69249,"Adam Mojta",3,52,1,66,58
"121",407308,"Adam Morgan",1,1,1,64,51
"122",12245,"Adam Nemec",3,12,3,70,121
"123",684978,"Adam Ounas",1,15,1,69,41
"124",306507,"Adam Pazio",3,60,1,64,63
"125",73078,"Adam Pinter",1,34,1,72,54
"126",31916,"Adam Rooney",2,114,1,,
"127",555649,"Adam Ryczkowski",1,7,1,56,49
"128",158861,"Adam Sarota",1,35,1,68,139
"129",160447,"Adam Smith",1,22,1,70,47
"130",36774,"Adam Szalai",4,94,1,77,117
"131",243068,"Adam Taggart",1,4,1,68,65
"132",71359,"Adam Vass",1,15,1,68,133
"133",495942,"Adam Waszkiewicz",1,15,1,52,48
"134",287224,"Adama Ba",2,8,1,66,53
"135",26136,"Adama Coulibaly",1,109,1,78,129
"136",164360,"Adama Francois",1,43,1,67,125
"137",357881,"Adama Soumaoro",1,30,1,68,54
"138",181211,"Adama Traore",2,39,2,75,133
"139",533212,"Adama Traore",2,14,1,68,50
"140",103866,"Adamo Coulibaly",1,28,1,73,42
"141",47394,"Adel Taarabt",3,71,2,80,135
"142",155738,"Adem Ljajic",3,103,1,81,137
"143",361710,"Aderlan Santos",2,83,2,80,56
"144",568920,"Aderlan",1,33,1,67,53
"145",45816,"Adil Auassar",3,105,1,66,126
"146",37249,"Adil Chihi",1,31,1,,
"147",40012,"Adil Hermach",2,67,1,,
"148",77741,"Adil Rami",4,225,3,84,136
"149",38612,"Adil Ramzi",1,37,1,,
"150",164115,"Adilson",2,9,1,68,60
"151",276701,"Adis Jahovic",1,5,1,70,56
"152",131409,"Adlene Guedioura",4,40,2,71,131
"153",116788,"Admir Aganovic",2,11,2,61,55
"154",132844,"Admir Mehmedi",3,113,2,77,108
"155",45815,"Adnan Alisic",2,5,1,61,45
"156",39875,"Adnan Custovic",2,41,1,69,134
"157",449241,"Adnan Januzaj",1,24,1,75,55
"158",43049,"Adnan Mravac",1,43,1,68,123
"159",261599,"Adnane Tighadouini",2,38,2,74,48
"160",154950,"Adrian Basta",3,43,1,65,62
"161",182107,"Adrian Blad",1,21,1,62,102
"162",121643,"Adrian Chomiuk",2,17,1,52,101
"163",102572,"Adrian Colunga",5,101,1,76,121
"164",43348,"Adrian Cristea",1,2,1,65,47
"165",113604,"Adrian Daniel Calello",1,8,1,61,56
"166",482331,"Adrian Embarba",1,28,1,73,50
"167",40501,"Adrian Gonzalez",5,132,1,73,137
"168",178574,"Adrian Gunino",2,50,2,69,144
"169",78537,"Adrian Klepczynski",2,105,1,62,53
"170",45744,"Adrian Lopez",5,135,2,81,126
"171",23358,"Adrian Mariappa",2,63,1,73,119
"172",571685,"Adrian Marin",1,14,1,72,53
"173",105526,"Adrian Mrowiec",3,86,2,64,133
"174",39311,"Adrian Mutu",3,105,2,85,100
"175",112976,"Adrian Nikci",4,55,2,68,128
"176",116881,"Adrian Paluchowski",3,9,1,61,117
"177",239253,"Adrian Rakowski",1,36,1,63,41
"178",50345,"Adrian Ramos",2,95,1,79,102
"179",323385,"Adrian Ricardo Centurion",1,5,1,74,39
"180",42431,"Adrian Ricchiuti",1,50,1,75,148
"181",183482,"Adrian Sardinero Corpa",1,4,1,66,114
"182",168047,"Adrian Stoian",1,12,1,72,141
"183",114790,"Adrian Winter",2,129,1,66,121
"184",169756,"Adrian",2,121,2,78,388
"185",167648,"Adriano De Pierro",2,16,1,59,130
"186",280969,"Adriano Facchini",1,118,1,72,363
"187",39190,"Adriano Ferreira Pinto",1,48,1,75,145
"188",172172,"Adriano Jose de Lara",1,1,1,65,41
"189",39199,"Adriano Pereira da Silva",1,62,1,69,126
"190",38122,"Adriano Russo",1,9,1,68,50
"191",121923,"Adriano",1,1,1,69,125
"192",30690,"Adriano",2,11,1,89,118
"193",33992,"Adriano",2,132,1,79,147
"194",41109,"Adriano",1,13,1,,
"195",171737,"Adrien Goni",1,1,1,63,132
"196",447107,"Adrien Hunou",1,4,1,65,44
"197",352879,"Adrien Rabiot",2,54,1,77,52
"198",557353,"Adrien Rawyler",1,1,1,50,36
"199",188413,"Adrien Regattin",1,67,1,77,123
"200",40930,"Adrien Silva",2,146,1,80,106
"201",317062,"Adrien Thomasson",2,50,1,73,60
"202",242719,"Adrien Trebel",2,51,2,74,61
"203",263276,"Adryan",2,21,2,73,43
"204",35608,"Afonso Alves,24",1,24,1,84,130
"205",361711,"Afonso",1,44,1,74,52
"206",213366,"Afriyie Acquah",4,80,1,74,39
"207",441441,"Ager Aketxe",1,5,1,74,64
"208",118883,"Agim Ibraimi",1,8,1,74,54
"209",119305,"Agon Mehmeti",2,15,2,67,108
"210",256728,"Agustin Vuletich",1,2,1,65,56
"211",45872,"Ahmed Ammi",2,72,1,66,137
"212",41399,"Ahmed Apimah Barusso",1,1,1,71,137
"213",513810,"Ahmed El Messaoudi",2,28,1,65,45
"214",111930,"Ahmed El Mohamady",2,109,1,77,47
"215",561140,"Ahmed Hamoudi",1,4,1,66,54
"216",403003,"Ahmed Hassan Koka",2,66,1,76,62
"217",297556,"Ahmed Hegazy",1,1,1,66,51
"218",41182,"Ahmed Kantari",2,101,1,72,136
"219",120917,"Ahmed Kashi",1,15,1,70,121
"220",232103,"Ahmed Musa",1,34,1,76,61
"221",174597,"Ahmed Saied Okka",1,23,1,65,55
"222",174600,"Ahmed Samir Farag",1,7,1,64,53
"223",148953,"Ahmed Soukouna",1,1,1,53,101
"224",441166,"Ahmet Ozcan",1,1,1,50,53
"225",410141,"Aidan Connolly",1,9,1,61,63
"226",582500,"Aidan Nesbitt",1,4,1,53,56
"227",199829,"Aiden Chippendale",1,1,1,56,138
"228",32448,"Aiden McGeady",2,70,2,83,143
"229",34319,"Aimo Stefano Diana",2,52,2,79,114
"230",213737,"Airam Cabrera",1,20,1,65,118
"231",133535,"Airton",1,10,1,76,149
"232",128843,"Aislan",1,17,1,67,125
"233",715642,"Aissa Laidouni",1,1,1,59,61
"234",210683,"Aissa Mandi",1,124,1,79,64
"235",185301,"Aitor Nunez",1,4,1,67,128
"236",33993,"Aitor Ocio",1,34,1,77,138
"237",24160,"Aiyegbeni Yakubu",2,59,1,84,134
"238",243127,"Akaki Gogia",1,4,1,69,58
"239",20771,"Akihiro Ienaga",1,4,1,74,57
"240",244128,"Akoete Eninful",1,3,1,59,56
"241",23163,"Akos Buzsaky",1,10,1,,
"242",31255,"Akpo Sodje",1,13,1,69,130
"243",127255,"Akwetey Mensah",1,10,1,60,54
"244",33451,"Alaeddine Yahia",3,107,1,72,125
"245",26085,"Alain Cantareil",1,7,1,68,124
"246",34268,"Alain Nef",3,167,2,71,131
"247",182847,"Alain Pierre Mendy",1,2,1,58,57
"248",36785,"Alain Rochat",2,104,1,72,127
"249",67393,"Alain Schultz",2,36,1,64,87
"250",34417,"Alain Traore",2,76,1,76,103
"251",95220,"Alain Wiss",2,139,1,63,117
"252",32693,"Alan Combe",1,37,1,68,337
"253",32547,"Alan Gow",3,17,1,,
"254",37085,"Alan Haydock",1,11,1,64,149
"255",267728,"Alan Henrique",1,5,1,71,54
"256",32870,"Alan Hutton",4,135,2,79,145
"257",92935,"Alan Kardec",1,9,1,76,123
"258",14100,"Alan Mannus",1,156,1,69,341
"259",32845,"Alan Martin",1,1,1,60,312
"260",23081,"Alan Maybury",2,76,1,66,143
"261",24024,"Alan O'Brien",1,14,1,69,138
"262",667963,"Alan Schons",1,5,1,70,45
"263",30248,"Alan Smith",1,11,1,80,140
"264",23881,"Alan Tate",2,8,2,69,118
"265",312585,"Alan Uryga",1,56,1,61,60
"266",25926,"Alan",1,157,1,79,137
"267",441173,"Alassane Diallo",1,1,1,62,57
"268",294859,"Alassane Plea",1,44,1,75,69
"269",289250,"Alassane Tambe",2,30,2,66,105
"270",160220,"Alassane Toure",2,21,1,67,63
"271",121488,"Alban Joinel",1,1,1,61,312
"272",698273,"Alban Lafont",1,24,1,70,355
"273",94883,"Alban Meha",1,13,1,74,61
"274",177689,"Alban Pnishi",1,21,1,63,58
"275",37503,"Albano Benjamin Bizzarri",4,108,1,80,402
"276",41173,"Albert Baning",1,8,1,68,132
"277",35831,"Albert Bunjaku",2,74,2,74,117
"278",45605,"Albert Crusat",2,89,2,,
"279",37483,"Albert Meyong Ze",2,57,1,79,135
"280",396912,"Albert Rafetraniaina",1,13,1,62,66
"281",37920,"Albert Riera",1,33,1,82,147
"282",484858,"Albert Rusnak",2,60,1,74,53
"283",36066,"Albert Streit",2,4,1,81,132
"284",27694,"Alberto Aquilani",6,134,3,83,155
"285",107929,"Alberto Botia",3,133,1,77,137
"286",299879,"Alberto Brignoli",1,1,1,68,334
"287",41168,"Alberto Bueno",3,88,2,,
"288",38395,"Alberto Cifuentes",1,15,1,71,354
"289",47565,"Alberto De la Bella",1,136,1,78,134
"290",39425,"Alberto Fontana",1,4,1,77,384
"291",30143,"Alberto Frison,18",1,18,1,74,362
"292",102394,"Alberto Garcia",1,6,1,70,352
"293",30881,"Alberto Gilardino",4,226,1,85,117
"294",42460,"Alberto Giuliatto",1,25,1,64,130
"295",575364,"Alberto Grassi",1,15,1,70,49
"296",543020,"Alberto Guitian",1,1,1,68,119
"297",37451,"Alberto Lopo",2,169,1,80,139
"298",32763,"Alberto Luque,21",1,21,1,79,141
"299",39743,"Alberto Maria Fontana",1,12,1,,
"300",314605,"Alberto Moreno",2,93,2,79,54
"301",109121,"Alberto Paloschi",4,132,2,77,106
"302",39302,"Alberto Pelagotti",1,6,1,67,336
"303",231977,"Alberto Perea",1,6,1,69,37
"304",74028,"Alberto Pomini",1,6,1,67,326
"305",42121,"Alberto Regazzoni",3,80,1,,
"306",2790,"Alberto Rey",1,50,1,73,144
"307",30273,"Alberto Rivera",3,97,1,75,154
"308",88521,"Alberto Rodriguez",3,82,1,78,123
"309",38576,"Alberto Zapater",2,35,2,75,149
"310",527104,"Albian Ajeti",1,3,1,64,56
"311",26401,"Albin Ebondo",2,96,1,73,143
"312",71768,"Albin Ekdal",4,154,2,75,130
"313",493418,"Albion Avdijaj",1,14,1,54,46
"314",281864,"Aldair",1,15,1,69,51
"315",661509,"Aldin Turkes",1,1,1,54,56
"316",93343,"Aldo Angoula",1,73,1,70,55
"317",664961,"Aldo Kalulu",1,1,1,66,46
"318",33759,"Aldo Pedro Duscher",2,46,1,,
"319",39345,"Aleandro Rosi",7,120,1,73,139
"320",467052,"Alec Luyckx",1,2,1,57,43
"321",450292,"Alef",1,1,1,68,48
"322",189192,"Aleix Vidal",3,64,1,79,47
"323",38131,"Alejandro Alfaro",3,69,1,,
"324",26120,"Alejandro Alonso",2,61,1,74,142
"325",191906,"Alejandro Arribas",4,143,1,78,111
"326",169217,"Alejandro Bedoya",2,70,2,75,125
"327",151079,"Alejandro Bergantinos",2,93,1,74,128
"328",45220,"Alejandro Daro Gomez",2,144,1,79,46
"329",10348,"Alejandro Dominguez",2,39,1,78,150
"330",97657,"Alejandro Faurlin",2,34,2,75,162
"331",303484,"Alejandro Galvez",3,94,2,76,46
"332",168569,"Alejandro Gonzalez",2,22,1,73,45
"333",288406,"Alejandro Grimaldo Garcia",1,2,1,70,50
"334",187150,"Alejandro Martinuccio",1,5,1,75,50
"335",282470,"Alejandro Pozuelo",4,39,3,72,50
"336",302911,"Aleksandar Bjelica",2,11,2,65,60
"337",364496,"Aleksandar Cavric",1,6,1,68,57
"338",522571,"Aleksandar Damcevski",1,8,1,64,50
"339",167094,"Aleksandar Ignjovski",2,73,1,73,128
"340",16351,"Aleksandar Kolarov",2,157,2,79,154
"341",426005,"Aleksandar Kovacevic",1,12,1,63,57
"342",37515,"Aleksandar Lukovic",1,53,1,,
"343",155739,"Aleksandar Miljkovic",1,7,1,70,47
"344",34067,"Aleksandar Mitreski",1,17,1,71,130
"345",351860,"Aleksandar Mitrovic",2,48,2,76,53
"346",280638,"Aleksandar Pantic",3,51,1,73,52
"347",164519,"Aleksandar Pesic",1,27,1,73,60
"348",124144,"Aleksandar Prijovic",3,39,2,71,124
"349",26680,"Aleksandar Rankovic",1,12,1,65,130
"350",278866,"Aleksandar Stevanovic",1,2,1,65,50
"351",69018,"Aleksandar Todorovski",2,64,1,65,62
"352",156534,"Aleksandar Tonev",4,59,4,67,51
"353",208852,"Aleksandar Trajkovski",2,57,2,68,60
"354",27476,"Aleksandar Vasoski",1,13,1,77,130
"355",306158,"Aleksander Jagiello",1,9,1,61,45
"356",68839,"Aleksander Kwiek",3,135,1,67,137
"357",3441,"Aleksander Radosavljevic",2,74,1,71,138
"358",22822,"Aleksander Seliga",1,32,1,67,338
"359",26169,"Aleksandr Hleb",4,46,3,84,163
"360",89828,"Aleksandrs Fertovs",1,26,1,61,50
"361",31191,"Aleksei Kangaskolkka",1,1,1,62,49
"362",395154,"Alen Halilovic",1,24,1,77,60
"363",173913,"Alen Melunovic",1,8,1,57,113
"364",191081,"Alen Stevanovic",1,8,1,74,147
"365",39145,"Alesandro Cordaro",4,135,1,69,146
"366",39763,"Alessandro Agostini",2,182,1,74,133
"367",39470,"Alessandro Bernardini",2,14,1,71,129
"368",39762,"Alessandro Budel",1,4,1,80,171
"369",74452,"Alessandro Carrozza",1,3,1,72,54
"370",197848,"Alessandro Cerigioni",1,9,1,65,54
"371",41424,"Alessandro Ciarrocchi",1,41,1,60,106
"372",154238,"Alessandro Crescenzi",1,9,1,65,50
"373",561819,"Alessandro Damen",1,11,1,64,321
"374",30727,"Alessandro Del Piero",1,69,1,87,156
"375",41475,"Alessandro Diamanti",6,142,2,83,148
"376",264842,"Alessandro Florenzi",1,103,1,79,48
"377",42443,"Alessandro Frara",1,14,1,68,89
"378",24504,"Alessandro Gamberini",4,179,1,84,145
"379",41816,"Alessandro Gazzi",3,159,1,77,142
"380",27606,"Alessandro Grandoni",1,1,1,81,159
"381",182843,"Alessandro Iacobucci",1,5,1,67,334
"382",7683,"Alessandro Iandoli",2,57,1,66,49
"383",73047,"Alessandro Lambrughi",1,2,1,67,111
"384",215725,"Alessandro Longhi",1,48,1,69,48
"385",27679,"Alessandro Lucarelli",1,189,1,75,151
"386",11747,"Alessandro Mangiarrati",1,56,1,60,120
"387",41411,"Alessandro Matri",6,148,1,81,120
"388",30723,"Alessandro Nesta",1,64,1,91,138
"389",41729,"Alessandro Parisi",1,40,1,78,154
"390",620524,"Alessandro Piu",1,2,1,63,50
"391",39314,"Alessandro Potenza",2,55,1,75,149
"392",167369,"Alessandro Riedle",1,2,1,64,133
"393",31304,"Alessandro Rosina",3,56,1,79,148
"394",461357,"Alessandro Schoepf",1,5,1,72,53
"395",42652,"Alessandro Sgrigna",1,7,1,72,114
"396",41269,"Alessio Cerci",6,126,1,82,116
"397",282706,"Alessio Cragno",1,14,1,70,338
"398",602306,"Alessio Da Cruz",1,1,1,63,66
"399",39197,"Alessio Manzoni",1,1,1,62,126
"400",362195,"Alessio Romagnoli",3,70,1,76,52
"401",41762,"Alessio Scarpi",1,9,1,75,385
"402",42482,"Alessio Sestu",3,31,1,73,143
"403",24469,"Alex Baptiste",1,19,1,72,114
"404",35480,"Alex Bruce",1,36,1,68,136
"405",363343,"Alex Bruno",1,17,1,65,50
"406",80566,"Alex Bruno",1,5,1,71,135
"407",39204,"Alex Calderoni",2,8,1,73,377
"408",306062,"Alex Cooper",1,12,1,60,54
"409",213500,"Alex Fernandez",1,5,1,74,64
"410",447488,"Alex Ferrari",1,13,1,67,50
"411",265618,"Alex Goncalves",1,14,1,70,50
"412",396888,"Alex Harris",2,27,1,62,53
"413",430433,"Alex Henshall",1,1,1,60,47
"414",604785,"Alex Iwobi",1,8,1,69,58
"415",282274,"Alex Kacaniklic",1,33,1,73,118
"416",470416,"Alex Kakuba",1,8,1,63,53
"417",33913,"Alex Keddie",1,36,1,59,57
"418",205034,"Alex Lopez",1,66,1,76,48
"419",155122,"Alex MacDonald",2,6,1,62,103
"420",39566,"Alex Manninger",2,59,2,77,389
"421",264293,"Alex Martinez",1,12,1,72,67
"422",119079,"Alex McCarthy",3,22,1,75,368
"423",282689,"Alex Menendez",1,13,1,70,48
"424",32924,"Alex Neil",1,70,1,69,135
"425",196386,"Alex Oxlade-Chamberlain",1,49,1,79,49
"426",49709,"Alex Pearce",1,18,1,72,118
"427",213493,"Alex Perez",1,1,1,63,59
"428",41136,"Alex Pinardi",2,9,1,71,150
"429",408994,"Alex Portillo",1,1,1,54,52
"430",157865,"Alex Sandro",2,98,2,82,136
"431",262753,"Alex Schalk",3,57,2,67,50
"432",34650,"Alex Silva",1,16,1,77,122
"433",478988,"Alex Soares",1,53,1,71,47
"434",23678,"Alex Song",3,174,2,,
"435",428672,"Alex Telles",1,18,1,77,58
"436",41975,"Alex Valentini",1,11,1,66,326
"437",41766,"Alex Von Schwedler",1,1,1,65,50
"438",150396,"Alex",1,15,1,,
"439",163838,"Alex",1,24,1,,
"440",26564,"Alex",3,159,3,87,130
"441",186923,"Alexander Bannink",1,11,1,65,136
"442",27306,"Alexander Baumjohann",4,37,1,,
"443",118434,"Alexander Buettner",3,80,3,75,130
"444",27535,"Alexander Bugera",1,31,1,69,139
"445",317565,"Alexander Corryn",1,2,1,64,51
"446",422127,"Alexander Cristovao",1,2,1,61,49
"447",407765,"Alexander Djiku",1,21,1,60,48
"448",128106,"Alexander Dragovic",1,77,1,78,120
"449",147735,"Alexander Esswein",2,77,1,75,56
"450",31672,"Alexander Farnerud",2,108,2,75,130
"451",438780,"Alexander Fransson",1,14,1,69,49
"452",34102,"Alexander Frei",2,116,2,81,112
"453",71764,"Alexander Gerndt",2,104,2,72,113
"454",190525,"Alexander Gonzalez",3,62,1,66,55
"455",459000,"Alexander Hack",1,7,1,65,32
"456",38206,"Alexander Iashvili",1,13,1,75,128
"457",27297,"Alexander Laas",1,1,1,71,148
"458",34420,"Alexander Madlung",2,94,1,76,139
"459",40295,"Alexander Mathisen",1,4,1,66,117
"460",27478,"Alexander Meier",1,163,1,79,154
"461",192504,"Alexander Merkel",4,25,2,75,50
"462",169569,"Alexander Milosevic",1,10,1,72,51
"463",181333,"Alexander Ring",1,3,1,72,40
"464",203755,"Alexander Scholz",2,52,1,74,48
"465",248437,"Alexander Schwolow",1,1,1,69,343
"466",440330,"Alexander Soerloth",1,6,1,65,58
"467",71524,"Alexander Stephan",1,11,1,65,323
"468",40100,"Alexander Tettey",2,103,2,,
"469",3517,"Alexandr Kerzhakov",1,17,1,,
"470",25824,"Alexandre Alphonse",2,72,2,,
"471",750584,"Alexandre Azevedo",1,1,1,58,54
"472",155075,"Alexandre Barthe",1,10,1,65,57
"473",24122,"Alexandre Bonnet",1,6,1,69,143
"474",265727,"Alexandre Coeff",3,32,3,71,109
"475",93996,"Alexandre Cuvillier",2,47,1,71,132
"476",39749,"Alexandre D'Acol",1,3,1,64,47
"477",21657,"Alexandre Di Gregorio",1,8,1,59,116
"478",33840,"Alexandre Geijo",3,23,2,,
"479",3140,"Alexandre Hauw",1,42,1,69,136
"480",169193,"Alexandre Lacazette",1,143,1,84,121
"481",210387,"Alexandre Letellier",1,17,1,69,338
"482",26213,"Alexandre Licata",1,11,1,,
"483",560900,"Alexandre Mendy",1,3,1,66,67
"484",114021,"Alexandre Pasche",3,49,1,62,110
"485",46554,"Alexandre Pato",2,77,2,85,128
"486",34055,"Alexandre Quennoz",1,6,1,63,128
"487",46342,"Alexandre Raineau",1,44,1,69,115
"488",571296,"Alexandre Silva",1,6,1,69,65
"489",42321,"Alexandros Tziolis",3,38,3,72,151
"490",42306,"Alexandros Tzorvas",2,12,1,76,376
"491",298923,"Alexandru Maxim",1,50,1,77,50
"492",41941,"Alexei Jr Eremenko",1,57,1,73,156
"493",277443,"Alexi Peuget",1,13,1,66,50
"494",687572,"Alexis Alegue Elandi",1,1,1,58,63
"495",605848,"Alexis Blin",1,18,1,68,45
"496",571681,"Alexis De Sart",1,1,1,57,63
"497",50657,"Alexis Norambuena Ruz",2,131,1,64,131
"498",281019,"Alexis Rolin",1,29,1,74,48
"499",50047,"Alexis Sanchez",3,197,3,86,149
"500",26275,"Alexis Thebaux",2,111,1,77,387
"501",37479,"Alexis",3,173,1,80,138
"502",303089,"Alexy Bosetti",1,25,1,71,49
"503",641042,"Alfonso Artabe",1,7,1,60,41
"504",27667,"Alfonso De Lucia",1,22,1,70,347
"505",629594,"Alfonso Pedraza",1,2,1,69,51
"506",280510,"Alfonso Taira",1,36,1,66,54
"507",317156,"Alfred Duncan",3,59,1,73,39
"508",129918,"Alfred Finnbogason",4,89,4,76,63
"509",111801,"Alfred N'Diaye",3,111,3,77,127
"510",239946,"Alfredo Morales",2,20,1,71,63
"511",213649,"Alfredo Ortuno",1,2,1,66,111
"512",46412,"Alharbi El Jadeyaoui",1,13,1,69,76
"513",242889,"Alhassan Wakaso",2,66,1,71,59
"514",256727,"Alhassane Bangoura",3,76,2,77,39
"515",286117,"Alhassane Keita",1,17,1,65,50
"516",41718,"Alhassane Keita",2,15,2,76,133
"517",476771,"Ali Adnan",1,21,1,72,59
"518",190741,"Ali Ahamada",1,131,1,75,377
"519",25156,"Ali Al-Habsi",1,101,1,79,387
"520",25535,"Ali Boussaboun",3,25,1,66,57
"521",420224,"Ali Ghazal",1,90,1,77,55
"522",211139,"Ali M'Madi",1,7,1,67,51
"523",209371,"Ali Messaoud",2,30,2,67,54
"524",512728,"Ali Yasar",1,1,1,57,41
"525",261332,"Alim Oezturk",1,24,1,65,47
