"","team_api_id","team_long_name","team_short_name","sum_build","sum_chance","sum_defence","noOfPlayers","totalGoals"
"262",9869,"Real Sporting de Gijón","SPG",153,185,195,65,200
"263",8305,"Getafe CF","GET",117,155,164,86,345
"264",8603,"Real Betis Balompié","BET",145,206,165,97,225
"265",8479,"RC Recreativo","HUE",148,140,151,21,34
"266",8558,"RCD Espanyol","ESP",146,196,180,100,338
"267",10281,"Real Valladolid","VAL",153,172,161,67,170
"268",8315,"Athletic Club de Bilbao","BIL",139,184,170,57,415
"269",9865,"UD Almería","ALM",152,180,193,65,202
"270",9906,"Atlético Madrid","AMA",157,206,160,84,524
"271",9864,"Málaga CF","MAL",129,191,164,106,377
"272",9868,"Xerez Club Deportivo","XER",104,159,165,20,38
"273",8394,"Real Zaragoza","ZAR",154,166,158,70,159
"274",9867,"CD Tenerife","TEN",163,180,174,19,40
"275",10278,"Hércules Club de Fútbol","HER",154,178,160,23,36
"276",8581,"Levante UD","LEV",171,182,155,83,241
"277",8560,"Real Sociedad","SOC",162,171,171,49,316
"278",7878,"Granada CF","GRA",166,200,170,85,179
"279",8370,"Rayo Vallecano","RAY",141,161,178,81,247
"280",9910,"RC Celta de Vigo","CEL",169,179,169,48,184
"281",10268,"Elche CF","ELC",171,165,158,38,65
"282",8372,"SD Eibar","EIB",165,179,142,41,83
"283",7869,"Córdoba CF","COR",146,171,129,31,22
"284",8306,"UD Las Palmas","LAS",147,187,171,25,45
"285",9956,"Grasshopper Club Zürich","GRA",164,184,160,104,429
"286",6493,"AC Bellinzona","BEL",101,175,150,36,128
"287",10192,"BSC Young Boys","YB",172,202,170,81,529
"288",9931,"FC Basel","BAS",170,186,180,86,619
"289",9930,"FC Aarau","AAR",156,181,150,58,153
"290",10179,"FC Sion","SIO",155,177,146,104,371
"291",10199,"FC Luzern","LUZ",165,175,153,72,421
"292",9824,"FC Vaduz","VAD",141,137,133,53,100
"293",7955,"Neuchâtel Xamax","XAM",105,190,150,50,171
"294",10243,"FC Zürich","ZUR",157,165,163,72,468
"295",10190,"FC St. Gallen","GAL",146,157,155,76,276
"296",10191,"FC Thun","THU",152,166,145,68,279
"297",9777,"Servette FC","SER",99,175,170,34,77
"298",7730,"FC Lausanne-Sports","LAU",141,164,165,53,99
"299",7896,"Lugano","LUG",,,,26,46
